Total Rows: 5
Total Columns: 6
tile: 0 location: [3, 1]
tile: 1 location: [2, 1]
tile: 2 location: [1, 0]
tile: 3 location: [2, 0]
tile: 4 location: [0, 1]
tile: 5 location: [0, 0]
tile: 6 location: [1, 2]
tile: 7 location: [0, 2]
tile: 8 location: [1, 1]
tile: 9 location: [2, 3]
tile: 10 location: [1, 3]
tile: 11 location: [2, 2]
tile: 12 location: [2, 4]
tile: 13 location: [3, 3]
tile: 14 location: [0, 3]
tile: 15 location: [1, 4]
tile: 16 location: [0, 4]
tile: 17 location: [1, 5]
tile: 18 location: [0, 5]
tile: 19 location: [2, 5]
tile: 20 location: [3, 4]
tile: 21 location: [3, 5]
tile: 22 location: [4, 5]
tile: 23 location: [4, 4]
tile: 24 location: [3, 2]
tile: 25 location: [4, 3]
tile: 26 location: [4, 2]
tile: 27 location: [4, 1]
tile: 28 location: [4, 0]
tile: 29 location: [3, 0]
